2023-03-08:17:49:12,024, This Machine carries out 1 operations per second.
2023-03-08:17:49:12,037, ACTION: INTERNAL, Logical Clock Time: [0, 0, 1]
2023-03-08:17:49:37,174, ACTION: RECEIVE, Logical Clock Time: [90, 54, 26], # of remaining messages: 14
2023-03-08:17:49:38,179, ACTION: RECEIVE, Logical Clock Time: [90, 56, 27], # of remaining messages: 14
2023-03-08:17:49:39,185, ACTION: RECEIVE, Logical Clock Time: [93, 56, 28], # of remaining messages: 13
2023-03-08:17:49:40,189, ACTION: RECEIVE, Logical Clock Time: [94, 56, 29], # of remaining messages: 12
2023-03-08:17:49:41,193, ACTION: RECEIVE, Logical Clock Time: [94, 58, 30], # of remaining messages: 11
2023-03-08:17:49:42,199, ACTION: RECEIVE, Logical Clock Time: [94, 59, 31], # of remaining messages: 11
2023-03-08:17:49:43,204, ACTION: RECEIVE, Logical Clock Time: [98, 59, 32], # of remaining messages: 12
2023-03-08:17:49:44,209, ACTION: RECEIVE, Logical Clock Time: [103, 59, 33], # of remaining messages: 12
2023-03-08:17:49:45,214, ACTION: RECEIVE, Logical Clock Time: [109, 59, 34], # of remaining messages: 11
2023-03-08:17:49:46,218, ACTION: RECEIVE, Logical Clock Time: [112, 67, 35], # of remaining messages: 14
2023-03-08:17:49:47,222, ACTION: RECEIVE, Logical Clock Time: [113, 67, 36], # of remaining messages: 14
2023-03-08:17:49:48,229, ACTION: RECEIVE, Logical Clock Time: [113, 70, 37], # of remaining messages: 15
2023-03-08:17:49:49,236, ACTION: RECEIVE, Logical Clock Time: [117, 70, 38], # of remaining messages: 15
2023-03-08:17:49:50,239, ACTION: RECEIVE, Logical Clock Time: [121, 70, 39], # of remaining messages: 14
2023-03-08:17:49:51,246, ACTION: RECEIVE, Logical Clock Time: [121, 74, 40], # of remaining messages: 14
2023-03-08:17:49:52,249, ACTION: RECEIVE, Logical Clock Time: [126, 75, 41], # of remaining messages: 17
2023-03-08:17:49:53,254, ACTION: RECEIVE, Logical Clock Time: [146, 83, 42], # of remaining messages: 17
2023-03-08:17:49:54,259, ACTION: RECEIVE, Logical Clock Time: [146, 89, 43], # of remaining messages: 17
2023-03-08:17:49:55,263, ACTION: RECEIVE, Logical Clock Time: [150, 90, 44], # of remaining messages: 17
2023-03-08:17:49:56,265, ACTION: RECEIVE, Logical Clock Time: [156, 92, 45], # of remaining messages: 18
2023-03-08:17:49:57,271, ACTION: RECEIVE, Logical Clock Time: [156, 98, 46], # of remaining messages: 19
2023-03-08:17:49:58,276, ACTION: RECEIVE, Logical Clock Time: [163, 98, 47], # of remaining messages: 20
2023-03-08:17:49:59,281, ACTION: RECEIVE, Logical Clock Time: [164, 98, 48], # of remaining messages: 20
2023-03-08:17:50:00,287, ACTION: RECEIVE, Logical Clock Time: [164, 100, 49], # of remaining messages: 20
2023-03-08:17:50:01,289, ACTION: RECEIVE, Logical Clock Time: [167, 100, 50], # of remaining messages: 20
2023-03-08:17:50:02,295, ACTION: RECEIVE, Logical Clock Time: [175, 103, 51], # of remaining messages: 20
2023-03-08:17:50:03,301, ACTION: RECEIVE, Logical Clock Time: [176, 103, 52], # of remaining messages: 19
2023-03-08:17:50:04,306, ACTION: RECEIVE, Logical Clock Time: [176, 108, 53], # of remaining messages: 19
2023-03-08:17:50:05,308, ACTION: RECEIVE, Logical Clock Time: [187, 109, 54], # of remaining messages: 19
2023-03-08:17:50:06,313, ACTION: RECEIVE, Logical Clock Time: [191, 109, 55], # of remaining messages: 18
2023-03-08:17:50:07,319, ACTION: RECEIVE, Logical Clock Time: [191, 116, 56], # of remaining messages: 17
2023-03-08:17:50:08,326, ACTION: RECEIVE, Logical Clock Time: [192, 116, 57], # of remaining messages: 18
2023-03-08:17:50:09,329, ACTION: RECEIVE, Logical Clock Time: [192, 118, 58], # of remaining messages: 17
2023-03-08:17:50:10,336, ACTION: RECEIVE, Logical Clock Time: [199, 119, 59], # of remaining messages: 17
2023-03-08:17:50:11,340, ACTION: RECEIVE, Logical Clock Time: [205, 119, 60], # of remaining messages: 17
2023-03-08:17:50:12,348, ACTION: RECEIVE, Logical Clock Time: [206, 127, 61], # of remaining messages: 18
