2023-02-28:22:51:38,129, ACTION: INTERNAL , Logical Clock Time: [0, 0, 1]
2023-02-28:22:52:03,226, ACTION: RECEIVE , Logical Clock Time: [93, 71, 26] , # of remaining messages: 8
2023-02-28:22:52:04,231, ACTION: RECEIVE , Logical Clock Time: [94, 71, 27] , # of remaining messages: 10
2023-02-28:22:52:05,232, ACTION: RECEIVE , Logical Clock Time: [97, 71, 28] , # of remaining messages: 10
2023-02-28:22:52:06,237, ACTION: RECEIVE , Logical Clock Time: [97, 84, 29] , # of remaining messages: 11
2023-02-28:22:52:07,242, ACTION: RECEIVE , Logical Clock Time: [111, 86, 30] , # of remaining messages: 13
2023-02-28:22:52:08,247, ACTION: RECEIVE , Logical Clock Time: [112, 86, 31] , # of remaining messages: 12
2023-02-28:22:52:09,251, ACTION: RECEIVE , Logical Clock Time: [112, 91, 32] , # of remaining messages: 12
2023-02-28:22:52:10,252, ACTION: RECEIVE , Logical Clock Time: [118, 91, 33] , # of remaining messages: 13
2023-02-28:22:52:11,254, ACTION: RECEIVE , Logical Clock Time: [123, 97, 34] , # of remaining messages: 13
2023-02-28:22:52:12,255, ACTION: RECEIVE , Logical Clock Time: [124, 97, 35] , # of remaining messages: 14
2023-02-28:22:52:13,256, ACTION: RECEIVE , Logical Clock Time: [126, 97, 36] , # of remaining messages: 13
2023-02-28:22:52:14,258, ACTION: RECEIVE , Logical Clock Time: [127, 97, 37] , # of remaining messages: 13
2023-02-28:22:52:15,264, ACTION: RECEIVE , Logical Clock Time: [127, 104, 38] , # of remaining messages: 13
2023-02-28:22:52:16,266, ACTION: RECEIVE , Logical Clock Time: [133, 104, 39] , # of remaining messages: 14
2023-02-28:22:52:17,271, ACTION: RECEIVE , Logical Clock Time: [137, 104, 40] , # of remaining messages: 13
2023-02-28:22:52:18,274, ACTION: RECEIVE , Logical Clock Time: [139, 104, 41] , # of remaining messages: 14
2023-02-28:22:52:19,280, ACTION: RECEIVE , Logical Clock Time: [139, 113, 42] , # of remaining messages: 15
2023-02-28:22:52:20,283, ACTION: RECEIVE , Logical Clock Time: [142, 113, 43] , # of remaining messages: 16
2023-02-28:22:52:21,284, ACTION: RECEIVE , Logical Clock Time: [150, 113, 44] , # of remaining messages: 17
2023-02-28:22:52:22,289, ACTION: RECEIVE , Logical Clock Time: [151, 123, 45] , # of remaining messages: 18
2023-02-28:22:52:23,294, ACTION: RECEIVE , Logical Clock Time: [155, 123, 46] , # of remaining messages: 18
2023-02-28:22:52:24,298, ACTION: RECEIVE , Logical Clock Time: [160, 123, 47] , # of remaining messages: 21
2023-02-28:22:52:25,304, ACTION: RECEIVE , Logical Clock Time: [164, 123, 48] , # of remaining messages: 22
2023-02-28:22:52:26,310, ACTION: RECEIVE , Logical Clock Time: [164, 134, 49] , # of remaining messages: 25
2023-02-28:22:52:27,314, ACTION: RECEIVE , Logical Clock Time: [174, 134, 50] , # of remaining messages: 28
2023-02-28:22:52:28,320, ACTION: RECEIVE , Logical Clock Time: [182, 134, 51] , # of remaining messages: 31
2023-02-28:22:52:29,326, ACTION: RECEIVE , Logical Clock Time: [182, 147, 52] , # of remaining messages: 30
2023-02-28:22:52:30,373, ACTION: RECEIVE , Logical Clock Time: [184, 150, 53] , # of remaining messages: 31
2023-02-28:22:52:31,379, ACTION: RECEIVE , Logical Clock Time: [194, 153, 54] , # of remaining messages: 30
2023-02-28:22:52:32,383, ACTION: RECEIVE , Logical Clock Time: [194, 157, 55] , # of remaining messages: 30
2023-02-28:22:52:33,386, ACTION: RECEIVE , Logical Clock Time: [197, 157, 56] , # of remaining messages: 32
2023-02-28:22:52:34,391, ACTION: RECEIVE , Logical Clock Time: [198, 157, 57] , # of remaining messages: 33
2023-02-28:22:52:35,395, ACTION: RECEIVE , Logical Clock Time: [205, 163, 58] , # of remaining messages: 33
2023-02-28:22:52:36,396, ACTION: RECEIVE , Logical Clock Time: [206, 163, 59] , # of remaining messages: 33
2023-02-28:22:52:37,397, ACTION: RECEIVE , Logical Clock Time: [207, 163, 60] , # of remaining messages: 34
2023-02-28:22:52:38,399, ACTION: RECEIVE , Logical Clock Time: [209, 167, 61] , # of remaining messages: 34
2023-02-28:22:52:39,404, ACTION: RECEIVE , Logical Clock Time: [209, 170, 62] , # of remaining messages: 34
2023-02-28:22:52:40,405, ACTION: RECEIVE , Logical Clock Time: [216, 170, 63] , # of remaining messages: 35
2023-02-28:22:52:41,411, ACTION: RECEIVE , Logical Clock Time: [221, 175, 64] , # of remaining messages: 36
2023-02-28:22:52:42,418, ACTION: RECEIVE , Logical Clock Time: [222, 175, 65] , # of remaining messages: 38
2023-02-28:22:52:43,423, ACTION: RECEIVE , Logical Clock Time: [223, 175, 66] , # of remaining messages: 39
2023-02-28:22:52:44,426, ACTION: RECEIVE , Logical Clock Time: [224, 175, 67] , # of remaining messages: 39
2023-02-28:22:52:45,432, ACTION: RECEIVE , Logical Clock Time: [226, 175, 68] , # of remaining messages: 40
2023-02-28:22:52:46,435, ACTION: RECEIVE , Logical Clock Time: [227, 175, 69] , # of remaining messages: 39
